id,url,created_at,text,lang,author_username,author_name,author_followers,likes,retweets,replies,quotes,views,bookmarks,is_reply,is_retweet,is_quote,source,media_count,media_urls
2034312525421113435,https://x.com/LoraFinance/status/2034312525421113435,Wed Mar 18 16:54:36 +0000 2026,First queue closing in few hours. It's getting heated.   First queue can access to the platform right after closing. https://t.co/pROvTII7L9,en,LoraFinance,Lora Finance,35462,47,6,39,2,4239,0,False,False,False,Twitter for iPhone,1,https://pbs.twimg.com/media/HDtUdW2aUAYhMYP.jpg
2034296382337794330,https://x.com/LoraFinance/status/2034296382337794330,Wed Mar 18 15:50:27 +0000 2026,@ozovehedotsui @just_zazi @bulktrade dm me 🤫,en,LoraFinance,Lora Finance,35462,4,0,2,0,48,0,True,False,False,Twitter for iPhone,0,
2034295758959301003,https://x.com/LoraFinance/status/2034295758959301003,Wed Mar 18 15:47:58 +0000 2026,"@ozovehedotsui @just_zazi @bulktrade gm gentlemen, saw my name was mentioned here. No discord. Only X. Beware of scams. If you have any questions, please dm me! Thank you!",en,LoraFinance,Lora Finance,35462,2,0,1,0,63,0,True,False,False,Twitter for iPhone,0,
2034197019766702507,https://x.com/LoraFinance/status/2034197019766702507,Wed Mar 18 09:15:37 +0000 2026,I'm waiting to see Lora on the top of the leaderboard @BawsaXBT. Great experiment! https://t.co/G6MyUW7MUV,en,LoraFinance,Lora Finance,35462,75,12,9,0,4514,2,False,False,False,Twitter for iPhone,1,https://pbs.twimg.com/media/HDrrX4oagAAm_9t.jpg
2033960841633271964,https://x.com/LoraFinance/status/2033960841633271964,Tue Mar 17 17:37:08 +0000 2026,@Akbargh99 Hmm good profit!,en,LoraFinance,Lora Finance,35462,2,0,0,0,690,0,True,False,False,Twitter for iPhone,0,
2033944079034421623,https://x.com/LoraFinance/status/2033944079034421623,Tue Mar 17 16:30:31 +0000 2026,@wpatermelon Tomorrow.,en,LoraFinance,Lora Finance,35462,3,0,1,0,1517,0,True,False,False,Twitter for iPhone,0,
2033937121271288178,https://x.com/LoraFinance/status/2033937121271288178,Tue Mar 17 16:02:53 +0000 2026,24 hours.  The queue unlocks.  Everyone inside enters Season I and starts earning points.  If you’re still outside… this is your last window.  → https://t.co/DdqI3yzBiM https://t.co/utZBsIOLDu,en,LoraFinance,Lora Finance,35462,886,1832,186,9,34900,56,False,False,False,Twitter for iPhone,1,https://pbs.twimg.com/media/HDn_A9ObEAIHmhH.jpg
2033680925045748032,https://x.com/LoraFinance/status/2033680925045748032,Mon Mar 16 23:04:51 +0000 2026,@masterSuiswap it’ll work once you get into the platform,en,LoraFinance,Lora Finance,35462,2,1,1,0,315,0,True,False,False,Twitter for iPhone,0,
2033580447159181526,https://x.com/LoraFinance/status/2033580447159181526,Mon Mar 16 16:25:35 +0000 2026,@Femistaylockin 48 hours as in the post dear,en,LoraFinance,Lora Finance,35462,1,0,1,0,642,0,True,False,False,Twitter for iPhone,0,
2033573471427686661,https://x.com/LoraFinance/status/2033573471427686661,Mon Mar 16 15:57:52 +0000 2026,@jhyllejiviene Dm me!,en,LoraFinance,Lora Finance,35462,2,0,3,0,2082,0,True,False,False,Twitter for iPhone,0,
2033565880211349539,https://x.com/LoraFinance/status/2033565880211349539,Mon Mar 16 15:27:42 +0000 2026,In the next 48 hours we're opening access to the queue.  Not in yet?  → https://t.co/bLEV6hvIlF  No liquidation. Points accumulating. Next phase: Trading AI Agents competing.,en,LoraFinance,Lora Finance,35462,653,1914,118,18,27422,55,False,False,False,Twitter for iPhone,1,https://pbs.twimg.com/media/HDitNtIawAA6aeU.jpg
2033467775474401378,https://x.com/LoraFinance/status/2033467775474401378,Mon Mar 16 08:57:52 +0000 2026,@FamoduImoleayo You can claim the testnet gas on MegaETH website though,en,LoraFinance,Lora Finance,35462,12,0,2,0,848,2,True,False,False,Twitter for iPhone,0,
2033230016201572630,https://x.com/LoraFinance/status/2033230016201572630,Sun Mar 15 17:13:06 +0000 2026,"@hyeon__dev This makes me think, should we add an estimation of approximation of how long the position can stay on?",en,LoraFinance,Lora Finance,35462,8,0,4,0,571,1,True,False,False,Twitter for iPhone,0,
2033227866305970326,https://x.com/LoraFinance/status/2033227866305970326,Sun Mar 15 17:04:33 +0000 2026,@fengtu21 you can get it from https://t.co/HHM7vxSBI7,en,LoraFinance,Lora Finance,35462,5,2,1,0,701,2,True,False,False,Twitter for iPhone,1,https://pbs.twimg.com/card_img/2060170632600395782/phJUjQWr?format=png&name=orig
2033227391703883948,https://x.com/LoraFinance/status/2033227391703883948,Sun Mar 15 17:02:40 +0000 2026,Nothing for Sunday. Go touch some grass soldiers! https://t.co/NyZ37Wq5aQ,en,LoraFinance,Lora Finance,35462,94,14,22,1,9940,0,False,False,False,Twitter for iPhone,1,https://pbs.twimg.com/media/HDd5Xj_aMAA6rsW.jpg
2033122930511823262,https://x.com/LoraFinance/status/2033122930511823262,Sun Mar 15 10:07:34 +0000 2026,@samthekorean @speedrun @a16z Can we dm you?,en,LoraFinance,Lora Finance,35462,4,0,2,0,856,0,True,False,False,Twitter for iPhone,0,
2032873591340146754,https://x.com/LoraFinance/status/2032873591340146754,Sat Mar 14 17:36:47 +0000 2026,"The 3rd day of our Season 1: Testnet witnessed 3,000 participants, 8,000 people are in the queue.   Our system runs smoothly.    Next stop: Competing with Trading AI Agents!   Enter Season 1 -&gt; https://t.co/HzcfGctdFQ https://t.co/87D2WsvJhK",en,LoraFinance,Lora Finance,35462,1089,2709,157,18,61518,145,False,False,False,Twitter for iPhone,1,https://pbs.twimg.com/media/HDY3ssCaMAECs1P.jpg
2032858070918087057,https://x.com/LoraFinance/status/2032858070918087057,Sat Mar 14 16:35:07 +0000 2026,"@0xnoman310 GM, I don't understand what might trigger you to this point but I don't think it's reasonable. Testnet is for testing, as in its name. And Roadmap is published before, months ago. And no Discord because we can't manage it well. We are active 24/7 on X to answer questions and suitable inqueries.",en,LoraFinance,Lora Finance,35462,3,0,1,0,193,1,True,False,False,Twitter for iPhone,0,
2032636594339897785,https://x.com/LoraFinance/status/2032636594339897785,Sat Mar 14 01:55:03 +0000 2026,@1569azizah no we don’t have discord. our only presence is our x account and our website,en,LoraFinance,Lora Finance,35462,1,0,0,0,704,0,True,False,False,Twitter for iPhone,0,
2032507761565765771,https://x.com/LoraFinance/status/2032507761565765771,Fri Mar 13 17:23:07 +0000 2026,https://t.co/o0sXOwalj2,zxx,LoraFinance,Lora Finance,35462,601,709,76,23,62970,38,False,False,False,Twitter for iPhone,0,
2032326458065240212,https://x.com/LoraFinance/status/2032326458065240212,Fri Mar 13 05:22:41 +0000 2026,"We are proud powered by @Superfluid_HQ. Without Superfluid we can not make ""everlasting option"" possible.",en,LoraFinance,Lora Finance,35462,47,11,7,0,4974,3,False,False,True,Twitter for iPhone,2,https://video.twimg.com/amplify_video/2032134237630218240/vid/avc1/1080x1080/huN2a3f1dlso2ruA.mp4?tag=21 https://pbs.twimg.com/amplify_video_thumb/2032134237630218240/img/wviJiKgnQasnaxB1.jpg
2032155372761596268,https://x.com/LoraFinance/status/2032155372761596268,Thu Mar 12 18:02:51 +0000 2026,"@Sam_Neon_0 Please, DM us the screenshot/screen record! Fix it right away!",en,LoraFinance,Lora Finance,35462,3,0,2,0,1045,0,True,False,False,Twitter for iPhone,0,
2032152379559461061,https://x.com/LoraFinance/status/2032152379559461061,Thu Mar 12 17:50:57 +0000 2026,"@2024MacBookPro GM, the Waitlist is closed dear. However, you can help us amplifying posts and wait a bit longer in the queue!",en,LoraFinance,Lora Finance,35462,3,0,0,0,842,0,True,False,False,Twitter for iPhone,0,
2032149946733117853,https://x.com/LoraFinance/status/2032149946733117853,Thu Mar 12 17:41:17 +0000 2026,"@Superfluid_HQ Without Superfluid, there is no ""everlasting option"" and no Lora Finance!",en,LoraFinance,Lora Finance,35462,3,0,0,0,335,1,True,False,False,Twitter for iPhone,0,
